entryT,mint,symbol,entryPrice,ret15,ret5,greensLast5,cooldownCollision,sampleGapPrevMs,sampleGapNextMs,minFuture2mPct,trackedSameDay,nearCandOutcome,nearCandReason,likelyNonFillReason,confidence,confidenceNotes,proxyExitReason,proxyPnlPct,maxRunupPct,maxDrawdownPct
2026-02-24T18:50:42.497Z,Br34SVc9DPCJtasCquNNcWznCNXp65NgMzpPP7i2pump,Adam,0.0001513,0.7291428571428571,0.32139737991266365,2,false,161065,155790,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=161s next=156s,stopAtEntry,-0.0004999999999999544,0,-0.03172504957038983
2026-02-24T18:50:42.498Z,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,Punch,0.02927,0.03794326241134757,0.08247041420118341,2,false,161066,155790,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=161s next=156s,stopAtEntry,-0.0004999999999999642,0,-0.002049880423641989
2026-02-24T18:50:42.500Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0003163,0.053280053280053315,0.05257903494176375,2,false,161067,155789,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=161s next=156s,stopAtEntry,0,0.1299399304457794,-0.07872273158393933
2026-02-24T18:50:42.501Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.000124,0.17313150425733217,0.13138686131386873,2,false,161068,155788,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=161s next=156s,trailingStop,11.447741935483869,13.14516129032258,0
2026-02-24T18:58:24.292Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0003574,0.18935108153078214,0.1299399304457794,2,false,149748,150113,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=150s next=150s,stopAtEntry,-0.0005000000000000156,0,-0.017627308337996615
2026-02-24T18:58:24.292Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0001363,0.24361313868613152,0.09919354838709678,2,false,149748,150112,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=150s next=150s,trailingStop,10.324431401320615,11.868672046955245,0
2026-02-25T01:35:07.010Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.0001828,0.06279069767441856,0.06279069767441856,2,false,239718,225292,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=240s next=225s,stopAtEntry,-0.0004999999999999843,0,-0.045404814004376286
2026-02-25T01:35:07.010Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.00152,0.09117013639626717,0.09117013639626717,2,false,239718,225293,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=240s next=225s,stopAtEntry,-0.0004999999999998838,0,-0.001973684210526435
2026-02-25T01:35:07.010Z,3o28iKESnNvi7xQcPTxg9aczjzqZN6BzugJFMRHYpump,DARWIN,0.0004241,0.2418740849194729,0.2418740849194729,2,false,239716,225293,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=240s next=225s,stopAtEntry,-0.0004999999999999859,0,-0.0037726951190756534
2026-02-25T01:35:07.011Z,BqJ8THReLvRNS6bpFkghQpf6qqwnLoZkxMXARqhWpump,Orangutan,0.000102,0.06627639556763534,0.06627639556763534,2,false,239719,225292,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=240s next=225s,stopAtEntry,-0.0004999999999999006,0,-0.12872549019607848
2026-02-25T01:42:44.584Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.00046,0.08541764983482777,0.07151176333566267,2,false,232280,743645,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=232s next=744s,stopAtEntry,-0.0004999999999999768,0,-0.09304347826086959
2026-02-25T02:00:31.939Z,4KVGATyKJNhm8y8afj5314rNAkB9MZGJVDE5cCKTpump,KOL,0.0001736,0.13836065573770492,0.07359307359307354,2,false,164814,155057,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=165s next=155s,stopAtEntry,-0.0005000000000000035,0,-0.07142857142857145
2026-02-25T02:00:31.940Z,EahUihCyvsJVg8wWafXc5ytxaReFXms514wKvmBQcLAw,CLAW,0.00004397,0.0372729417315405,0.0372729417315405,2,false,164814,155059,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=165s next=155s,stopAtEntry,-0.0004999999999999945,0.027746190584489388,-0.23311348646804636
2026-02-25T02:03:06.993Z,32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,maxxing,0.002863,0.041469625318297544,0.020313613684960867,3,false,155056,157755,,false,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=155s next=158s,stopAtEntry,-0.000499999999999939,0,-0.043311212015368486
2026-02-25T02:03:06.994Z,BzyKa1FGjs2EUpu3GGDibY4xdygn5evAiRboKmETpump,TRENCH,0.001269,0.0308692120227456,0.019277108433734886,3,false,155056,157756,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=155s next=158s,stopAtEntry,-0.0004999999999999697,0,-0.008668242710795858
2026-02-25T02:03:06.999Z,EahUihCyvsJVg8wWafXc5ytxaReFXms514wKvmBQcLAw,CLAW,0.00004519,0.06605331446095779,0.027746190584489388,3,true,155059,784417,,true,seen,evaluated,cooldown collision,high,prev event 155s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998893,0,-0.2538172161982739
2026-02-25T02:05:44.747Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.001744,0.05696969696969704,0.043686415320167656,3,false,157757,160474,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=158s next=160s,stopAtEntry,-0.0004999999999999151,0.0057339449541283305,-0.1754587155963303
2026-02-25T02:08:25.220Z,2JSSDkmY1m9A5kLtB2tDGMhcFEfWsq8ZpmVQzcFtpump,SPAWN,0.00001287,0.45407298610326513,0.3955757970071567,2,false,160472,158382,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=160s next=158s,trailingStop,0.948034188034188,1.2136752136752136,0
2026-02-25T02:08:25.221Z,32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,maxxing,0.002852,0.03746817024372491,0.04125593282219781,3,false,160473,158382,,false,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=160s next=158s,stopAtEntry,-0.0004999999999998894,0,-0.010869565217391226
2026-02-25T02:08:25.223Z,84yCF7hyUuRNAra9BjFHVDpnRdGXmfsV2emyZwLjpump,house,0.000319,0.044873894529970544,0.0360506658005846,3,false,160472,158383,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=160s next=158s,stopAtEntry,-0.0004999999999998855,0,-0.01285266457680248
2026-02-25T02:08:25.223Z,BzyKa1FGjs2EUpu3GGDibY4xdygn5evAiRboKmETpump,TRENCH,0.00129,0.04792851340373664,0.025437201907790072,2,false,160473,158382,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=160s next=158s,stopAtEntry,-0.0004999999999998882,0,-0.03643410852713175
2026-02-25T02:08:25.223Z,6dQD8ALWdkFiD77D34qzUHFuifpaCnoWAEGRgvcZpump,GOLDENERA,0.00006271,0.05359543010752691,0.029213851961267027,2,false,160473,158381,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=160s next=158s,trailingStop,1.4389092648700366,1.7714878009886779,0
2026-02-25T02:08:25.224Z,4KVGATyKJNhm8y8afj5314rNAkB9MZGJVDE5cCKTpump,KOL,0.0001648,0.08065573770491805,0.026791277258566955,2,false,160473,158381,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=160s next=158s,stopAtEntry,-0.000499999999999945,0,-0.015776699029126103
2026-02-25T02:11:03.602Z,2JSSDkmY1m9A5kLtB2tDGMhcFEfWsq8ZpmVQzcFtpump,SPAWN,0.0000263,2.212802345467872,1.0435120435120433,3,true,158382,153612,,true,seen,evaluated,cooldown collision,high,prev event 158s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999369,0.08326996197718635,-0.41406844106463875
